Company,Week,Demographic,Book,Units Sold,Revenue,Profit
Waterstones,1,Teen (13-19),The Girl Next Door,130,1235.0,518.6999999999999
Waterstones,1,Teen (13-19),Off Season,87,826.5,347.13
Waterstones,1,Teen (13-19),Offspring,100,950.0,399.0
Waterstones,1,Teen (13-19),Red,159,1510.5,634.41
Waterstones,1,Teen (13-19),The Lost,68,646.0,271.32
Waterstones,1,Teen (13-19),Ladies Night,192,1824.0,766.0799999999999
Waterstones,1,Teen (13-19),Joyride,88,836.0,351.12
Waterstones,1,Teen (13-19),Stranglehold,92,874.0,367.08
Waterstones,1,Young Adult (20-35),The Girl Next Door,66,627.0,263.34
Waterstones,1,Young Adult (20-35),Off Season,163,1548.5,650.37
Waterstones,1,Young Adult (20-35),Offspring,131,1244.5,522.6899999999999
Waterstones,1,Young Adult (20-35),Red,193,1833.5,770.0699999999999
Waterstones,1,Young Adult (20-35),The Lost,90,855.0,359.09999999999997
Waterstones,1,Young Adult (20-35),Ladies Night,167,1586.5,666.3299999999999
Waterstones,1,Young Adult (20-35),Joyride,40,380.0,159.6
Waterstones,1,Young Adult (20-35),Stranglehold,137,1301.5,546.63
Waterstones,1,Adult (36-55),The Girl Next Door,109,1035.5,434.90999999999997
Waterstones,1,Adult (36-55),Off Season,184,1748.0,734.16
Waterstones,1,Adult (36-55),Offspring,66,627.0,263.34
Waterstones,1,Adult (36-55),Red,42,399.0,167.57999999999998
Waterstones,1,Adult (36-55),The Lost,137,1301.5,546.63
Waterstones,1,Adult (36-55),Ladies Night,75,712.5,299.25
Waterstones,1,Adult (36-55),Joyride,179,1700.5,714.2099999999999
Waterstones,1,Adult (36-55),Stranglehold,88,836.0,351.12
Waterstones,1,Older Adult (56+),The Girl Next Door,32,304.0,127.67999999999999
Waterstones,1,Older Adult (56+),Off Season,93,883.5,371.07
Waterstones,1,Older Adult (56+),Offspring,70,665.0,279.3
Waterstones,1,Older Adult (56+),Red,38,361.0,151.62
Waterstones,1,Older Adult (56+),The Lost,28,266.0,111.72
Waterstones,1,Older Adult (56+),Ladies Night,183,1738.5,730.17
Waterstones,1,Older Adult (56+),Joyride,85,807.5,339.15
Waterstones,1,Older Adult (56+),Stranglehold,109,1035.5,434.90999999999997
Waterstones,2,Teen (13-19),The Girl Next Door,147,1396.5,586.53
Waterstones,2,Teen (13-19),Off Season,53,503.5,211.47
Waterstones,2,Teen (13-19),Offspring,111,1054.5,442.89
Waterstones,2,Teen (13-19),Red,126,1197.0,502.74
Waterstones,2,Teen (13-19),The Lost,113,1073.5,450.87
Waterstones,2,Teen (13-19),Ladies Night,59,560.5,235.41
